 INFO  Accepting connections at http://localhost:3000
 HTTP  10.05.2026 21:59:01 ::1 GET /public/
 HTTP  10.05.2026 21:59:01 ::1 Returned 404 in 25 ms
 HTTP  10.05.2026 21:59:01 ::1 GET /
 HTTP  10.05.2026 21:59:01 ::1 Returned 200 in 7 ms
 HTTP  10.05.2026 21:59:18 ::1 GET /
 HTTP  10.05.2026 21:59:18 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 21:59:18 ::1 GET /index.css
 HTTP  10.05.2026 21:59:18 ::1 GET /translations.js
 HTTP  10.05.2026 21:59:18 ::1 Returned 200 in 6 ms
 HTTP  10.05.2026 21:59:18 ::1 GET /app.js
 HTTP  10.05.2026 21:59:18 ::1 GET /account.js
 HTTP  10.05.2026 21:59:18 ::1 GET /i18n.js
 HTTP  10.05.2026 21:59:18 ::1 Returned 200 in 8 ms
 HTTP  10.05.2026 21:59:18 ::1 Returned 200 in 8 ms
 HTTP  10.05.2026 21:59:18 ::1 Returned 200 in 17 ms
 HTTP  10.05.2026 21:59:18 ::1 Returned 200 in 23 ms
 HTTP  10.05.2026 22:07:40 ::1 GET /
 HTTP  10.05.2026 22:07:40 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:08:13 ::1 GET /
 HTTP  10.05.2026 22:08:13 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 22:08:13 ::1 GET /index.css
 HTTP  10.05.2026 22:08:13 ::1 GET /translations.js
 HTTP  10.05.2026 22:08:13 ::1 GET /i18n.js
 HTTP  10.05.2026 22:08:13 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 22:08:13 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 22:08:13 ::1 Returned 200 in 4 ms
 HTTP  10.05.2026 22:08:13 ::1 GET /app.js
 HTTP  10.05.2026 22:08:13 ::1 GET /account.js
 HTTP  10.05.2026 22:08:13 ::1 Returned 200 in 4 ms
 HTTP  10.05.2026 22:08:13 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 22:08:22 ::1 GET /index.css
 HTTP  10.05.2026 22:08:22 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:17:28 ::1 GET /
 HTTP  10.05.2026 22:17:28 ::1 Returned 304 in 1 ms
 HTTP  10.05.2026 22:17:28 ::1 GET /index.css
 HTTP  10.05.2026 22:17:28 ::1 Returned 304 in 1 ms
 HTTP  10.05.2026 22:17:28 ::1 GET /translations.js
 HTTP  10.05.2026 22:17:28 ::1 GET /i18n.js
 HTTP  10.05.2026 22:17:28 ::1 Returned 304 in 1 ms
 HTTP  10.05.2026 22:17:28 ::1 GET /app.js
 HTTP  10.05.2026 22:17:28 ::1 Returned 304 in 4 ms
 HTTP  10.05.2026 22:17:28 ::1 GET /account.js
 HTTP  10.05.2026 22:17:28 ::1 Returned 304 in 3 ms
 HTTP  10.05.2026 22:17:28 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 22:17:36 ::1 GET /
 HTTP  10.05.2026 22:17:36 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:17:36 ::1 GET /index.css
 HTTP  10.05.2026 22:17:36 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:17:36 ::1 GET /
 HTTP  10.05.2026 22:17:36 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:17:36 ::1 GET /index.css
 HTTP  10.05.2026 22:17:36 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:17:39 ::1 GET /
 HTTP  10.05.2026 22:17:39 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 22:17:40 ::1 GET /index.css
 HTTP  10.05.2026 22:17:40 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 22:17:40 ::1 GET /i18n.js
 HTTP  10.05.2026 22:17:40 ::1 GET /translations.js
 HTTP  10.05.2026 22:17:40 ::1 Returned 304 in 4 ms
 HTTP  10.05.2026 22:17:40 ::1 Returned 304 in 1 ms
 HTTP  10.05.2026 22:17:40 ::1 GET /app.js
 HTTP  10.05.2026 22:17:40 ::1 GET /account.js
 HTTP  10.05.2026 22:17:40 ::1 Returned 304 in 1 ms
 HTTP  10.05.2026 22:17:40 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 22:26:58 ::1 GET /index.css
 HTTP  10.05.2026 22:26:58 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:26:58 ::1 GET /
 HTTP  10.05.2026 22:26:58 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:31:23 ::1 GET /
 HTTP  10.05.2026 22:31:23 ::1 Returned 304 in 1 ms
 HTTP  10.05.2026 22:31:23 ::1 GET /index.css
 HTTP  10.05.2026 22:31:23 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 22:31:23 ::1 GET /translations.js
 HTTP  10.05.2026 22:31:23 ::1 GET /i18n.js
 HTTP  10.05.2026 22:31:23 ::1 GET /app.js
 HTTP  10.05.2026 22:31:23 ::1 GET /account.js
 HTTP  10.05.2026 22:31:23 ::1 Returned 304 in 5 ms
 HTTP  10.05.2026 22:31:23 ::1 Returned 304 in 5 ms
 HTTP  10.05.2026 22:31:23 ::1 Returned 304 in 3 ms
 HTTP  10.05.2026 22:31:23 ::1 Returned 304 in 3 ms
 HTTP  10.05.2026 22:35:01 ::1 GET /
 HTTP  10.05.2026 22:35:01 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:25 ::1 GET /
 HTTP  10.05.2026 22:35:25 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:25 ::1 GET /index.css
 HTTP  10.05.2026 22:35:25 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:25 ::1 GET /
 HTTP  10.05.2026 22:35:25 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:25 ::1 GET /index.css
 HTTP  10.05.2026 22:35:25 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:40 ::1 GET /
 HTTP  10.05.2026 22:35:40 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:35:40 ::1 GET /index.css
 HTTP  10.05.2026 22:35:40 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:35:40 ::1 GET /translations.js
 HTTP  10.05.2026 22:35:40 ::1 GET /i18n.js
 HTTP  10.05.2026 22:35:40 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 22:35:40 ::1 Returned 200 in 4 ms
